Spielführerin Hendrike Heitmann 	TIT VN NN 
Andrea Nagel 	VN NN 
Svenja Klotz 	VN NN 
Hendrike Heitmann 	VN NN 
Janina Horn 	VN NN 
Laura Hilger 	VN NN 
Wiebke Ahlers 	VN NN 
Nadine Niedermeyer 	VN NN 
Anna Wiebke Schulz 	VN VN NN 
Rainer Fischer 	VN NN 
Klaus Gehrmann 	VN NN 
Trainer Klaus Gehrmann 	TIT VN NN 
Steffi Fleischmann 	VN NN 
Marieke Maeder 	VN NN 
Grit Lindemann 	VN NN 
Claudia Burmeister 	VN NN 
Katrin Niemeier 	VN NN 
Britta Möller 	VN NN 
Johanna Harnack 	VN NN 
Dörte Möller 	VN NN 
Melanie Kröger 	VN NN 
Sven Baumann 	VN NN 
Philipp Ruge 	VN NN 
Kai Richter 	VN NN 
Außenspieler Kai Richter 	TIT VN NN 
Hans Melzer 	VN NN 
Bundestrainer Hans Melzer 	TIT VN NN 
Adrian Haase 	VN NN 
Arne Linke 	VN NN 
Stefan Paetz 	VN NN 
Gunter Armonat 	VN NN 
Landrat Gunter Armonat 	TIT VN NN 
Landschaftsarchitekten Theis 	TIT NN 
Bernd Bauer 	VN NN 
Rektor Bernd Bauer 	TIT VN NN 
Kerstin Hintz 	VN NN 
Rektor Bauer 	TIT NN 
Quentin Weber 	VN NN 
Juniorchef Quentin Weber 	TIT VN NN 
Quentin Weber 	VN NN 
Wolf Hartmut Weber 	VN VN NN 
Kommunalpolitikers Wolf Hartmut Weber 	TIT VN VN NN 
Quentin Weber 	VN NN 
Quentin Weber 	VN NN 
Wolf Hartmut Weber 	VN VN NN 
Quentin Weber 	VN NN 
Quentin Weber 	VN NN 
Quentin Weber 	VN NN 
Marc Kühlborn 	VN NN 
Andreas Schäfer 	VN NN 
Andreas Schäfer 	VN NN 
Andreas Göhring 	VN NN 
Manfred Schulz 	VN NN 
SPD-Politikers Manfred Schulz 	TIT VN NN 
Manfred Schulz 	VN NN 
Bürgermeister Böhme 	TIT NN 
Bürgermeister Böhme 	TIT NN 
Bürgermeister Böhme 	TIT NN 
Ralf-Dieter Fischer 	VN NN 
Volker Okun 	VN NN 
Bürgerschaftsabgeordneten Volker Okun 	TIT VN NN 
